Date,Day,Month,MonthName,Quarter,Year,Weekday,IsWeekend,Season,Holiday,DateRaw,IsHoliday
2025-03-15,15,3,March,Q1,2025,Saturday,Yes,Spring,None,2025-03-15,0
2025-03-16,16,3,March,Q1,2025,Sunday,Yes,Spring,None,2025-03-16,0
2025-03-17,17,3,March,Q1,2025,Monday,No,Spring,None,2025-03-17,0
2025-03-18,18,3,March,Q1,2025,Tuesday,No,Spring,None,2025-03-18,0
2025-03-19,19,3,March,Q1,2025,Wednesday,No,Spring,None,2025-03-19,0
2025-03-20,20,3,March,Q1,2025,Thursday,No,Spring,None,2025-03-20,0
2025-03-21,21,3,March,Q1,2025,Friday,No,Spring,None,2025-03-21,0
2025-03-22,22,3,March,Q1,2025,Saturday,Yes,Spring,None,2025-03-22,0
2025-03-23,23,3,March,Q1,2025,Sunday,Yes,Spring,None,2025-03-23,0
2025-03-24,24,3,March,Q1,2025,Monday,No,Spring,None,2025-03-24,0
2025-03-25,25,3,March,Q1,2025,Tuesday,No,Spring,None,2025-03-25,0
2025-03-26,26,3,March,Q1,2025,Wednesday,No,Spring,None,2025-03-26,0
2025-03-27,27,3,March,Q1,2025,Thursday,No,Spring,None,2025-03-27,0
2025-03-28,28,3,March,Q1,2025,Friday,No,Spring,None,2025-03-28,0
2025-03-29,29,3,March,Q1,2025,Saturday,Yes,Spring,None,2025-03-29,0
2025-03-30,30,3,March,Q1,2025,Sunday,Yes,Spring,None,2025-03-30,0
2025-03-31,31,3,March,Q1,2025,Monday,No,Spring,None,2025-03-31,0
2025-04-01,1,4,April,Q2,2025,Tuesday,No,Spring,None,2025-04-01,0
2025-04-02,2,4,April,Q2,2025,Wednesday,No,Spring,None,2025-04-02,0
2025-04-03,3,4,April,Q2,2025,Thursday,No,Spring,None,2025-04-03,0
2025-04-04,4,4,April,Q2,2025,Friday,No,Spring,None,2025-04-04,0
2025-04-05,5,4,April,Q2,2025,Saturday,Yes,Spring,None,2025-04-05,0
2025-04-06,6,4,April,Q2,2025,Sunday,Yes,Spring,None,2025-04-06,0
2025-04-07,7,4,April,Q2,2025,Monday,No,Spring,None,2025-04-07,0
2025-04-08,8,4,April,Q2,2025,Tuesday,No,Spring,None,2025-04-08,0
2025-04-09,9,4,April,Q2,2025,Wednesday,No,Spring,None,2025-04-09,0
2025-04-10,10,4,April,Q2,2025,Thursday,No,Spring,None,2025-04-10,0
2025-04-11,11,4,April,Q2,2025,Friday,No,Spring,None,2025-04-11,0
2025-04-12,12,4,April,Q2,2025,Saturday,Yes,Spring,None,2025-04-12,0
2025-04-13,13,4,April,Q2,2025,Sunday,Yes,Spring,None,2025-04-13,0
2025-04-14,14,4,April,Q2,2025,Monday,No,Spring,None,2025-04-14,0
2025-04-15,15,4,April,Q2,2025,Tuesday,No,Spring,None,2025-04-15,0
2025-04-16,16,4,April,Q2,2025,Wednesday,No,Spring,None,2025-04-16,0
2025-04-17,17,4,April,Q2,2025,Thursday,No,Spring,None,2025-04-17,0
2025-04-18,18,4,April,Q2,2025,Friday,No,Spring,None,2025-04-18,0
2025-04-19,19,4,April,Q2,2025,Saturday,Yes,Spring,None,2025-04-19,0
2025-04-20,20,4,April,Q2,2025,Sunday,Yes,Spring,None,2025-04-20,0
2025-04-21,21,4,April,Q2,2025,Monday,No,Spring,None,2025-04-21,0
2025-04-22,22,4,April,Q2,2025,Tuesday,No,Spring,None,2025-04-22,0
2025-04-23,23,4,April,Q2,2025,Wednesday,No,Spring,None,2025-04-23,0
2025-04-24,24,4,April,Q2,2025,Thursday,No,Spring,None,2025-04-24,0
2025-04-25,25,4,April,Q2,2025,Friday,No,Spring,None,2025-04-25,0
2025-04-26,26,4,April,Q2,2025,Saturday,Yes,Spring,None,2025-04-26,0
2025-04-27,27,4,April,Q2,2025,Sunday,Yes,Spring,None,2025-04-27,0
2025-04-28,28,4,April,Q2,2025,Monday,No,Spring,None,2025-04-28,0
2025-04-29,29,4,April,Q2,2025,Tuesday,No,Spring,None,2025-04-29,0
2025-04-30,30,4,April,Q2,2025,Wednesday,No,Spring,None,2025-04-30,0
2025-05-01,1,5,May,Q2,2025,Thursday,No,Spring,None,2025-05-01,0
2025-05-02,2,5,May,Q2,2025,Friday,No,Spring,None,2025-05-02,0
2025-05-03,3,5,May,Q2,2025,Saturday,Yes,Spring,None,2025-05-03,0
2025-05-04,4,5,May,Q2,2025,Sunday,Yes,Spring,None,2025-05-04,0
2025-05-05,5,5,May,Q2,2025,Monday,No,Spring,None,2025-05-05,0
2025-05-06,6,5,May,Q2,2025,Tuesday,No,Spring,None,2025-05-06,0
2025-05-07,7,5,May,Q2,2025,Wednesday,No,Spring,None,2025-05-07,0
2025-05-08,8,5,May,Q2,2025,Thursday,No,Spring,None,2025-05-08,0
2025-05-09,9,5,May,Q2,2025,Friday,No,Spring,None,2025-05-09,0
2025-05-10,10,5,May,Q2,2025,Saturday,Yes,Spring,None,2025-05-10,0
2025-05-11,11,5,May,Q2,2025,Sunday,Yes,Spring,None,2025-05-11,0
2025-05-12,12,5,May,Q2,2025,Monday,No,Spring,None,2025-05-12,0
2025-05-13,13,5,May,Q2,2025,Tuesday,No,Spring,None,2025-05-13,0
2025-05-14,14,5,May,Q2,2025,Wednesday,No,Spring,None,2025-05-14,0
2025-05-15,15,5,May,Q2,2025,Thursday,No,Spring,None,2025-05-15,0
2025-05-16,16,5,May,Q2,2025,Friday,No,Spring,None,2025-05-16,0
2025-05-17,17,5,May,Q2,2025,Saturday,Yes,Spring,None,2025-05-17,0
2025-05-18,18,5,May,Q2,2025,Sunday,Yes,Spring,None,2025-05-18,0
2025-05-19,19,5,May,Q2,2025,Monday,No,Spring,None,2025-05-19,0
2025-05-20,20,5,May,Q2,2025,Tuesday,No,Spring,None,2025-05-20,0
2025-05-21,21,5,May,Q2,2025,Wednesday,No,Spring,None,2025-05-21,0
2025-05-22,22,5,May,Q2,2025,Thursday,No,Spring,None,2025-05-22,0
2025-05-23,23,5,May,Q2,2025,Friday,No,Spring,None,2025-05-23,0
2025-05-24,24,5,May,Q2,2025,Saturday,Yes,Spring,None,2025-05-24,0
2025-05-25,25,5,May,Q2,2025,Sunday,Yes,Spring,None,2025-05-25,0
2025-05-26,26,5,May,Q2,2025,Monday,No,Spring,None,2025-05-26,0
2025-05-27,27,5,May,Q2,2025,Tuesday,No,Spring,None,2025-05-27,0
2025-05-28,28,5,May,Q2,2025,Wednesday,No,Spring,None,2025-05-28,0
2025-05-29,29,5,May,Q2,2025,Thursday,No,Spring,None,2025-05-29,0
2025-05-30,30,5,May,Q2,2025,Friday,No,Spring,None,2025-05-30,0
2025-05-31,31,5,May,Q2,2025,Saturday,Yes,Spring,None,2025-05-31,0
2025-06-01,1,6,June,Q2,2025,Sunday,Yes,Summer,None,2025-06-01,0
2025-06-02,2,6,June,Q2,2025,Monday,No,Summer,None,2025-06-02,0
2025-06-03,3,6,June,Q2,2025,Tuesday,No,Summer,None,2025-06-03,0
2025-06-04,4,6,June,Q2,2025,Wednesday,No,Summer,None,2025-06-04,0
2025-06-05,5,6,June,Q2,2025,Thursday,No,Summer,None,2025-06-05,0
2025-06-06,6,6,June,Q2,2025,Friday,No,Summer,None,2025-06-06,0
2025-06-07,7,6,June,Q2,2025,Saturday,Yes,Summer,None,2025-06-07,0
2025-06-08,8,6,June,Q2,2025,Sunday,Yes,Summer,None,2025-06-08,0
2025-06-09,9,6,June,Q2,2025,Monday,No,Summer,None,2025-06-09,0
2025-06-10,10,6,June,Q2,2025,Tuesday,No,Summer,None,2025-06-10,0
2025-06-11,11,6,June,Q2,2025,Wednesday,No,Summer,None,2025-06-11,0
2025-06-12,12,6,June,Q2,2025,Thursday,No,Summer,None,2025-06-12,0
2025-06-13,13,6,June,Q2,2025,Friday,No,Summer,None,2025-06-13,0
2025-06-14,14,6,June,Q2,2025,Saturday,Yes,Summer,None,2025-06-14,0
2025-06-15,15,6,June,Q2,2025,Sunday,Yes,Summer,None,2025-06-15,0
2025-06-16,16,6,June,Q2,2025,Monday,No,Summer,None,2025-06-16,0
2025-06-17,17,6,June,Q2,2025,Tuesday,No,Summer,None,2025-06-17,0
2025-06-18,18,6,June,Q2,2025,Wednesday,No,Summer,None,2025-06-18,0
2025-06-19,19,6,June,Q2,2025,Thursday,No,Summer,None,2025-06-19,0
2025-06-20,20,6,June,Q2,2025,Friday,No,Summer,None,2025-06-20,0
2025-06-21,21,6,June,Q2,2025,Saturday,Yes,Summer,None,2025-06-21,0
2025-06-22,22,6,June,Q2,2025,Sunday,Yes,Summer,None,2025-06-22,0
2025-06-23,23,6,June,Q2,2025,Monday,No,Summer,None,2025-06-23,0
2025-06-24,24,6,June,Q2,2025,Tuesday,No,Summer,None,2025-06-24,0
2025-06-25,25,6,June,Q2,2025,Wednesday,No,Summer,None,2025-06-25,0
2025-06-26,26,6,June,Q2,2025,Thursday,No,Summer,None,2025-06-26,0
2025-06-27,27,6,June,Q2,2025,Friday,No,Summer,None,2025-06-27,0
2025-06-28,28,6,June,Q2,2025,Saturday,Yes,Summer,None,2025-06-28,0
2025-06-29,29,6,June,Q2,2025,Sunday,Yes,Summer,None,2025-06-29,0
2025-06-30,30,6,June,Q2,2025,Monday,No,Summer,None,2025-06-30,0
2025-07-01,1,7,July,Q3,2025,Tuesday,No,Summer,None,2025-07-01,0
2025-07-02,2,7,July,Q3,2025,Wednesday,No,Summer,None,2025-07-02,0
