Date,Day,Month,MonthName,Quarter,Year,Weekday,IsWeekend,Season,Holiday,DateRaw,IsHoliday
2025-11-18,18,11,November,Q4,2025,Tuesday,No,Autumn,None,2025-11-18,0
2025-11-19,19,11,November,Q4,2025,Wednesday,No,Autumn,None,2025-11-19,0
2025-11-20,20,11,November,Q4,2025,Thursday,No,Autumn,None,2025-11-20,0
2025-11-21,21,11,November,Q4,2025,Friday,No,Autumn,None,2025-11-21,0
2025-11-22,22,11,November,Q4,2025,Saturday,Yes,Autumn,None,2025-11-22,0
2025-11-23,23,11,November,Q4,2025,Sunday,Yes,Autumn,None,2025-11-23,0
2025-11-24,24,11,November,Q4,2025,Monday,No,Autumn,None,2025-11-24,0
2025-11-25,25,11,November,Q4,2025,Tuesday,No,Autumn,None,2025-11-25,0
2025-11-26,26,11,November,Q4,2025,Wednesday,No,Autumn,None,2025-11-26,0
2025-11-27,27,11,November,Q4,2025,Thursday,No,Autumn,Thanksgiving,2025-11-27,1
2025-11-28,28,11,November,Q4,2025,Friday,No,Autumn,None,2025-11-28,0
2025-11-29,29,11,November,Q4,2025,Saturday,Yes,Autumn,None,2025-11-29,0
2025-11-30,30,11,November,Q4,2025,Sunday,Yes,Autumn,None,2025-11-30,0
2025-12-01,1,12,December,Q4,2025,Monday,No,Winter,None,2025-12-01,0
2025-12-02,2,12,December,Q4,2025,Tuesday,No,Winter,None,2025-12-02,0
2025-12-03,3,12,December,Q4,2025,Wednesday,No,Winter,None,2025-12-03,0
2025-12-04,4,12,December,Q4,2025,Thursday,No,Winter,None,2025-12-04,0
2025-12-05,5,12,December,Q4,2025,Friday,No,Winter,None,2025-12-05,0
2025-12-06,6,12,December,Q4,2025,Saturday,Yes,Winter,None,2025-12-06,0
2025-12-07,7,12,December,Q4,2025,Sunday,Yes,Winter,None,2025-12-07,0
2025-12-08,8,12,December,Q4,2025,Monday,No,Winter,None,2025-12-08,0
2025-12-09,9,12,December,Q4,2025,Tuesday,No,Winter,None,2025-12-09,0
2025-12-10,10,12,December,Q4,2025,Wednesday,No,Winter,None,2025-12-10,0
2025-12-11,11,12,December,Q4,2025,Thursday,No,Winter,None,2025-12-11,0
2025-12-12,12,12,December,Q4,2025,Friday,No,Winter,None,2025-12-12,0
2025-12-13,13,12,December,Q4,2025,Saturday,Yes,Winter,None,2025-12-13,0
2025-12-14,14,12,December,Q4,2025,Sunday,Yes,Winter,None,2025-12-14,0
2025-12-15,15,12,December,Q4,2025,Monday,No,Winter,None,2025-12-15,0
2025-12-16,16,12,December,Q4,2025,Tuesday,No,Winter,None,2025-12-16,0
2025-12-17,17,12,December,Q4,2025,Wednesday,No,Winter,None,2025-12-17,0
2025-12-18,18,12,December,Q4,2025,Thursday,No,Winter,None,2025-12-18,0
2025-12-19,19,12,December,Q4,2025,Friday,No,Winter,None,2025-12-19,0
2025-12-20,20,12,December,Q4,2025,Saturday,Yes,Winter,None,2025-12-20,0
2025-12-21,21,12,December,Q4,2025,Sunday,Yes,Winter,None,2025-12-21,0
2025-12-22,22,12,December,Q4,2025,Monday,No,Winter,None,2025-12-22,0
2025-12-23,23,12,December,Q4,2025,Tuesday,No,Winter,None,2025-12-23,0
2025-12-24,24,12,December,Q4,2025,Wednesday,No,Winter,Christmas Eve,2025-12-24,1
2025-12-25,25,12,December,Q4,2025,Thursday,No,Winter,Christmas Day,2025-12-25,1
2025-12-26,26,12,December,Q4,2025,Friday,No,Winter,None,2025-12-26,0
2025-12-27,27,12,December,Q4,2025,Saturday,Yes,Winter,None,2025-12-27,0
2025-12-28,28,12,December,Q4,2025,Sunday,Yes,Winter,None,2025-12-28,0
2025-12-29,29,12,December,Q4,2025,Monday,No,Winter,None,2025-12-29,0
2025-12-30,30,12,December,Q4,2025,Tuesday,No,Winter,None,2025-12-30,0
2025-12-31,31,12,December,Q4,2025,Wednesday,No,Winter,New Year's Eve,2025-12-31,1
